sentence1_kin,sentence2_kin,human_score
"Aitne , nanone yitwa , ni umusozi w' igiterane udatunganye wo muri Jupiter .","Eurydome , nanone yitwa , ni umwe mu myerekano kamere ya Jupiter .",0.41
"Icyakora, Kate Messner ntiyashoboraga kuyandika neza kurusha uko yabigenje.","IGIHE CYA Kabiri cyanditswe na Kate Messner, gihuza ubuzima bwa buri munsi n'ifi itanga ibyifuzo.",0.66
"Nkunda kumva Eyes on Me ya Faye Wong, ndakwinginze wambaye.","Faye Wong, reba aho ndi!",0.81
"Kugira ngo hakorwe igenzura ry'inkomoko, hagomba gushyirwa ahagaragara amakuru agomba kuba akubiye mu nyandiko y'ubuherekezi.",ni ngombwa gushyiraho amakuru agomba gutanga mu rwego rwo kugenzura inkomoko y'igitabo cy'inyandiko cyerekezaho.,0.78
Abantu batatu bambaye imyenda y'umweru bakora mu biro bya Target.,Hari abantu batatu bageze mu za bukuru bakemura ibibazo bari bafite mu ndege yabo.,0.22
"Nashimishijwe n'ukuntu Anne Rice yafashe ""Umuntu w'Intama"".","Ese byamfashije kuba umufana wa Anne Rice, yego na oya?",0.53
@HillaryClinton agiye gufungura indi biro 10 muri Iowa muri iki cyumweru.,"Umuyobozi w'isi y'ubwigenge, ukoresha ingendo ku isi, ukorana n'amahanga, urenga imbaga y'abantu, ibyo ni isomo ry'ingenzi.",0.41
"Rimwe na rimwe, afata amafoto ye, ariko si ko buri gihe abigenza.","rimwe na rimwe amafoto ye aba yarashyizwe mu mashusho, rimwe na rimwe ntabwo aba yarashyizwe mu mashusho",0.81
Mu cyumweru gishize nabonye umukobwa w'umujura arimo avuga iby'indwara imeze nk'iyi.,Mu cyumweru gishize nabonye umukobwa w'umushumba arira indwara nk'iyo.,0.72
Imbwa y'umukara n'iy'umuhondo bagenda mu ishyamba.,Imbwa y'umuhondo n'iy'umukara barwana ku byatsi.,0.69
"Mu mwaka wa 2000 , abaturage bari 33.647 .","Muri icyo gihe , icyo gihugu cyari cyarashyizwe mu turere 33.",0.44
Ntegerezanyije amatsiko gukomeza gusoma iyi nkuru no kumenya uko byagendekeye abakobwa.,"Igitabo cya mbere mu gitabo cya Gemma Doyle cyanditswe na Libba Bray, ""A Great and Terrible Beauty"", ni intangiriro y'ingenzi y'uruhererekane.",0.41
"Niba Minisitiri w'Intebe w'u Bugiriki Alexis Tsipras akeneye inama ku birebana no kuva mu bucakara, ndi ku ruhande #greekreferendum",@realDonaldTrump Guma mu nzira! Ushobora gutsinda! USA ikeneye ubuyobozi n'ubuhanga bwawe!,0.28
Ni ikintu gikomeye cyane cyane cyane ku mukobwa ugira amasonisoni.,Ishyingiranwa ni ikintu cy'ingenzi cyane mu buzima bw'umuntu.,0.41
"Nubwo amafaranga y'amadolari 300 ku isaha, nta cyo ahenze.","babaha amadolari 300 ku isaha, si bo bonyine baba bafite amafaranga make.",0.88
"Ntushobora gupakira amategeko y'ibaruramari ""%1"".","nta mategeko yashoboraga guterwa yo gushyiraho ""% 1.",0.69
"Ku ruhande rw'ibumoso, munsi y'imirenge minini, ndabifuriza amahirwe.","(Iburyo bubamfu, munsi y'ibicaro binini) *Mugire amahirwe*",0.87
"Mu mwaka wa 2000 , abaturage bari 4.743 .","Mu mwaka wa 2005 , abaturage bari 63.743 .",0.53
Jya kuri iTunes ushakire iPod maze usubire kuyishyiraho umuzika.,"Fata ipod na mudasobwa, fungura iTunes maze ushakishe ububiko bw'umuzika.",0.69
Ibyo ni byo bitabo bye: birashimishije cyane cyane serivisi ze z'ibitabo bya Dragon.,"Ariko abantu bo mu gitabo cya Dragon Slippers basubiranywe, kandi barishimye kandi bafite ubuzima nk'uko byahoze.",0.47
Ibyo bisa n'aho ari igiciro cyiza.,Ibyo bisa n'aho ari umukino w'ibyishimo.,0.28
Bityo rero... umuvandimwe na mushiki wacu bombi bari bahuriye ku bintu na Wes.,we na Wes ni bo bakoreshaga amafaranga ya musaza we na mushiki we.,0.47
"Mu bihugu byinshi , inka zikoreshwa mu biribwa .","Inka zirya ibimera , kandi zirya ibyatsi .",0.53
Umwanditsi w' inyandiko ni ubwoko bw' porogaramu ikoreshwa mu gusesengura inyandiko zisanzwe .,Umwanditsi w' inyandiko ni porogaramu ikoreshwa kuri orudinateri ishobora gukora no guhindura inyandiko .,0.81
Allsvenskan ni shampiyona iri hejuru mu mupira w'amaguru wa Suwede .,"Allsvenskan ni shampiyona y' umupira w'amaguru , ari yo shampiyona y' icyubahiro yo muri Suwede .",0.88
Cyangwa se abanzi ba Castle Glower bazabasha gutsinda?,Lilah ni umukozi w'umuhanga mu by'ubucuruzi kandi afasha mu kuyobora urugo rw'umugi cyangwa gutegura igitero ku mwanzi.,0.22
"mwe mwese murimo muha Donald Trump umwenda munini, twagiye duhuza kandi ubu turakomeye",@realDonaldTrump Ndashaka gusa kubashimira ko mutari mugiye kurasa polisi ya PC! #richforreason #no fear,0.33
Fahd yabaye umwami n' Minisitiri w' Intebe mu gihe cy' ihinduka ryiza .,Umukuru w' guverinoma ni Minisitiri w' Intebe Patrick Manning .,0.38
Ku cyumweru cya 12 hemejwe ko nta cyo ari cyo cyoroheje kurusha sevelamer carbonate.,"Mu cyumweru cya 12, habonetse ko sevelamer-carbonate itari ifite agaciro gake.",0.88
"Tayse yitegereza Senneth yitonze, kandi amushimira mu cyubahiro.","Nishimiye gusoma byinshi muri iyi nkuru, cyane cyane niba tubonye byinshi kuri Senneth na Tayse.",0.62
@peddoc63 @realDonaldTrump Ubwo rero ntekereza ko Univision ari nziza kandi ifite uburinganire.,@sbrenn01 @marklevinshow Ni irihe tandukaniro? Abakomeza kuba ab'amoko.,0.47
@realDonaldTrump Uri ikarita y'umutima wanjye.,@realDonaldTrump ufite umutima w'intare! Reka tugarure Amerika!,0.72
"Iyo nkuru yasubiwemo mu buryo bwinshi , kandi yakoreshejwe na Sigmund Freud mu kwita complexe ya Oedipus .","Umuhanga mu by' imikorere y' abantu witwa Sigmund Freud yari afite igitekerezo cyiswe "" Complexe d' Édipe "" , nyuma y' iyo nkuru .",0.69
Jya kuri disite ya Ebay.,"Gerageza ku rubuga rwa www.allmusic.com, ni rwo rubuga nkunda cyane.",0.31
"Muganga yaguhaye imiti, mwana wanjye.","Muganga yagutegetse icyo ugomba gukora, mwana wanjye.",0.72
Umugabo wambaye ubururu yagurishaga mu muhanda.,Umuntu urimo atambuka mu mpinga y'umusozi,0.25
Epimetheus ni umwe mu mihanda yo mu rwego rwa Saturune .,"Fornjot , cyangwa Saturune XLII , ni umwe mu myerekano kamere ya Saturune .",0.72
"Kuko ndi kurwanya abantu bose, abagizi ba nabi n'ibinyoma! #NoHillary2016 #StopHillaryClinton2016 #WhyImNotVotingForHillary","#Benghazi WAIT Ese navuze nti ""Murakoze Imana?"" ABATEGEKANYI?",0.31
"Iyo urebye abakandida ba perezida, hari umukandida umwe gusa, ushobora guhagarara hejuru, kandi ni we wenyine. #Trump",@realDonaldTrump **Gukora ibirenge bibiri aho gukora kimwe** Dukeneye undi watsinze mu nzu y'Abirabura #MakeAmericaGreatAgain !!,0.53
@realDonaldTrump @LadyPatriot777 @Macys ibicuruzwa bibi byakozwe mu Bushinwa !!!!!!!,@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOES NOT MINCE WORDS!!!!,0.28
"Nk 'uko bimeze mu gusubiramo ADN , ADN isomwa kuva ku 3 ' 5 ' mu gihe cyo kwandika .","Nk 'uko bimeze ku kuvana ADN , hari imirongo ibiri gusa y' ADN ihindurwamo .",0.59
"Nta muntu n'umwe Hillary ashaka gufunga, kandi nta n'umwe ahangayikishijwe n'igihe cye kizaza.",@HillaryClinton Yego ndabishobora kandi nzabigeraho.,0.28
Hari umuntu ukora ubuhanga hanze.,Hari umusore uri ku nkombe y'inyanja arimo akora ibintu byo gukora igare.,0.56
"Ellen Herrick atanga igitabo gitanga ibitekerezo bishishikaje ku nkuru, kandi arangiza avuga ibindi byinshi.",Ellen Herrick yatangiye afite igitekerezo gishishikaje.,0.59
Umugore wambaye agapfukamunwa n'umukandara w'umukara yicaye iruhande rw'umugabo wambaye umwenda w'umukara atega amatwi ikiganiro.,"Hari umusore w'Umunyamerika w'Umwirabura wambaye ikoti y'igishura cy'indirimbo n'ikapu y'igishura, maze ajya mu nzu y'umukara avugana na za mikoro.",0.25
Ibyo bisobanura ko urubura ruzahinduka amazi .,"Iyo hagize ubushyuhe , urubura rugahinduka amazi .",0.75
Umurimo w' urumuri rw' umugozi w' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y' amabuye y',"Ikindi kintu gifasha umuntu kumenya ibintu byinshi , ni igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy' igipimo cy'",0.69
Abana barimo baryoherwa bakina mu mazi no ku nkombe ku nkombe.,Umugabo wambaye imyenda y'ubururu n'igishushanyo cy'amabara agenda agana ku mazi yo ku nkombe.,0.41
Umugabo ufite umwenda utukura n'umukara agurisha amafi.,Umugabo ahagaze mu ruzi aroba kandi afashe urushundura.,0.41
@WashTimes @billpostmus #CONGRESS nimwemere ko ibyo bikorwa byemerwa!,"kuvuga ibintu bica intege & how often/how many times it is repeated are NOT mutually exclusive; komeza Chris; ntukagire umujinya, na we... @chrislhayes",0.22
"Sedgewick afite imico isa n'iy'umugore muri Columbo, ariko we ubwe yongeyeho imico ye.","Ndabazi, ni nk'uko abagore bakunze kumva bakunze kumva bakumva bakumva bakumva bakumva bakumva.",0.16
Umusaza abona ku ibaraza ry'inzu rihanze amaso ku muhanda.,Hari abagabo babiri barimo baririmba kandi bagaragaza imodoka za kera.,0.28
Reka dushimire umucamanza w'urukiko rw'intara Larry Hendricks kubera ko yahagaritse itegeko ridasanzwe ryo kurwanya gukuramo inda muri Kansas,@MarthaPlimpton Ntabwo ari kuwa mbere kuri Twitter kugeza ubwo hari troll yo mu ruhande rw'iburyo yohereje videwo y'ibyicabuzima #ReproRights,0.5
Boeing yatangiye gukora indege z'ubwoko bwa A320 zigezweho mu mwaka wa 1991 .,"Mu ntangiriro z ' imyaka ya 1990 , byaragaragaye ko indege nshya ya Airbus A320 yari iterabwoba rikomeye ku musaruro wa Boeing .",0.62
Hari itsinda ry'abagore bari mu isoko ryo hanze.,Hari abakobwa babiri b'abageze mu za bukuru bari mu birori.,0.44
Mubaze nomero ye ya telefoni cyangwa aho inzu ye iri.,"Mwambaze ntimwibagirwe nimero yanjye ya telefoni, Milli Vanilli.",0.44
Ntitwari gutegereza ko dutangira igitabo gikurikira.,"Nashimishijwe cyane n'ikigeragezo cya Renfield, kandi sintegerezanyije amatsiko kureba uko byagenze.",0.56
"Mu by 'ukuri , amafi y' amafi y' amafi yo mu bwoko bwa baleen aruta cyane amafi y' amafi y' amafi y' amafi yo mu bwoko bwa baleen , kandi amafi y' amafi yo mu bwoko bwa baleen aruta cyane aya mafi y' amafi yo mu bwoko bwa baleen .","Abagabo bashobora gupima ibiro 130 - 200 , naho abagore bagakora ibiro 35 - 82 .",0.47
"Umurimo wa Allman wakomeje kugenda neza mu myaka ibarirwa muri za mirongo yakurikiyeho , rimwe na rimwe akaba yaragendaga mu materaniro igihe abavandimwe ba Allman band babaga batakiri mu nzira .","Yari umwe mu bagize itsinda ry ' abavandimwe ba Allman , hamwe na musaza we Duane Allman , ryashyize Rock y' Amajyepfo mu buryo bwagutse mu myaka ya 1970 .",0.69
@realDonaldTrump nizeye kandi ndasaba ko uzagaragaraho. Amerika ikeneye umuntu ufite umugongo!,@realDonaldTrump Guma mu nzira! Ushobora gutsinda! USA ikeneye ubuyobozi n'ubuhanga bwawe!,0.91
Turagusaba ko nawe wifatanya natwe mu gihe dusenga dusaba ko ibyo gukorora inda ku isi hose bizavaho!,Turagira ngo Imana ihe umugisha Amerika ariko twica abana 4000 buri mwaka.,0.47
umugabo n'umugore bari ku kadirisha k'imodoka hamwe (mu mwanya w'ibanze) bagenda ku kiraro bafite imiterere itari myiza.,Abakobwa batanu bateranira mu cyumba gifite intebe z'ubururu n'iz'ubururu.,0.22
Kuba yarashubije ibibazo bishobora gutuma agira umwanya.,Nkunda gusubiza ibibazo byawe ku bihereranye na gitari.,0.22
"Umukobwa ahagaze ku biti bibiri by'ibiti by'ibiti, maze afata amafoto y'ibishwi byo mu ruzi.",Hari igikoko cyitwa corgi cy'ibara ry'umuhondo n'umweru gikurikiye intama zirimo zirasa.,0.19
"Mu duce twinshi tw'isi harimo muri Ositaraliya , muri Etiyopiya no mu birwa bya Galapagos , havugwa ibirunga byitwa "" Shield "" .","Nanone hari ibirunga byitwa "" ingabo "" , urugero nk ' i Washington , muri leta ya Oregon no mu birwa bya Galapagos .",0.78
Fritz Laband yari umukinnyi w' umupira w'amaguru w' Umudage .,Fritz Laband ni uwahoze ari umukinnyi w' umupira w'amaguru w' Umudage .,1.0
"Mu mwaka wa 1940 Ellis yabaye umwe mu bagize MAUD , bakoraga ubushakashatsi ku birebana n' uburyo bwo gukoresha intwaro za kirimbuzi kugira ngo bakore intwaro nshya .","Mu Ntambara ya Kabiri y'Isi Yose , yakoze ubushakashatsi ku birebana n' uburyo bwo gukoresha intwaro za kirimbuzi kugira ngo haboneke intwaro nshya .",0.62
Ntuhangayike kugeza ku myaka makumyabiri n'itanu.,Duhabwa iminota makumyabiri n'itanu gusa yo kurya.,0.16
Imbwa y'umuhondo iri gushima icyuho.,Imbwa y'umuhondo n'iy'umukara barwana ku byatsi.,0.56
Hari umuntu urebera mu idirishya.,Hari umuntu ureba mu idirishya.,0.84
Iyi ni inkuru y'ibinyoma.,Ni urwenya rw'imbere.,0.47
"George , Eliza na Harry na bo babonye umudendezo nyuma yo kwinjira muri Kanada .","Amaherezo George , Eliza na Harry bageze muri Kanada maze baratuzwa .",0.97
Nkunda cyane Vigholf na Rhona.,Iki gitabo kivuga nanone ibya Rhona & Vigholf.,0.66
Imbwa y'umuhondo iriruka mu nzira y'ubutaka.,Umubyeyi n'umwana we bagenda mu nzira y'ubutaka.,0.5
Ubundi kuri jye si ko byari bimeze.,"Mu by'ukuri, ibyo yatekerezaga ntibyahagije.",0.38
"Saa kumi n'ebyiri za mu gitondo, bari baraye inzoga z'amafaranga y'u Burayi agera ku 1500 y'amafaranga y'u Burayi.","saa kumi n'ebyiri za mu gitondo, ngomba kwishyura amafaranga y'amafaranga y'u Rwanda 1536 ku byokurya n'ibinyobwa.",0.66
Umugore wambaye amabara y'umukara asunika umuntu uri mu igare ry'abamugaye.,Umwana muto asunika umugabo munini uri mu igare ry'abamugaye.,0.53
Re: Ubu sinashobora kurengaho iki... kuki abavura inda bagomba gutsemba inda ari bazima?,Igihugu cyica abana bacyo ni igihugu kidafite ibyiringiro. - Papa Yohani Pawulo wa II #ProLifeYouth #AllLivesMatter,0.47
Hari impanuka y'indege y'indege iri hafi kugera mu mujyi wa St. Louis muri Mo.,"Kugira ngo ubishobore, wagombaga kujya i St. Louis y'Iburasirazuba muri leta ya Illinois.",0.34
Hari abagore babiri bakiri bato baza gusura abana babo ku meza yo mu cyumba cyo kuriramo.,"Umubyeyi ukiri muto w'umuhondo yicaye mu gituza, afashe uruhinja rwe rwiba impeta y'amazinyo y'amabara menshi.",0.41
Iki kigo cyagombaga gufungwa.,Kuki baje ku biro by'ishami?,0.66
Imbwa ebyiri zera zirwaga ku gikinisho gitukura.,Hari umugabo w'umusaza uri kwiruka hanze mu birori.,0.09
"Hillary aracyari mu nzira yo kuyigenderaho, ariko amaherezo agaragaza impande ze bwite, kandi ntekereza ko bizamugirira akamaro cyane.",.@GoldenTalon @johnmanko @CassandraRules Ahubwo ndishimye ko azatsinda.,0.31
Hariho ibyaha bikomeye cyane bigomba gusubizwa.,Abandi bagomba kubazwa ibyaha bikomeye kurushaho.,0.78
Iki gitabo naragikunze cyane ariko icya mbere naragikunze cyane,Ikindi nakunze ni uko ushobora kubona ukuntu iyo nkuru ihuza n'ibintu byabayeho mu mateka.,0.47
"Niba ibyo bimutwaye, ni ukubeshyera.",Mubaze muby'ukuri mbere y'uko undi muntu amujyana.,0.38
Kwifuza ko umuntu yambara agapfukamunwa cyangwa akakuramo ni byo bituma umuntu agira irari ryo kwifuza ko yambara agapfukamunwa .,"Uko bigaragara , yaguye hasi ajya mu cyumba cyo hasi , noneho yambaye agapfukamunwa .",0.38
Stade Pittodrie ni sitade yo mu gihugu cya Scotland iri mu mujyi wa Aberdeen .,"Stade ya Pittodrie ni sitade yo mu mujyi wa Aberdeen , mu gihugu cya Écosse .",0.94
Hari abagore benshi bicaye mu modoka y'indege irimo abantu benshi.,umwana muto arimo asuka imbunda y'amazi y'umuhondo mu isuku.,0.16
"Umunsi mukuru w'abademokrate bo mu Karere ka Emmet muri Estherville, ni mwiza cyane.","Bill Clinton yafashe icyemezo cyo kurwanya bin Laden, kandi twabonye itariki ya 11 Nzeri 2001.",0.31
Ese uri hano kugira ngo ujye mu nama y'amahoro?,Ese waje mu nama y'amahoro?,0.78
"Ku bashakanye, gutandukana biroroha.",Ujye ugabanya amata ufate amafi y'uruhu.,0.19
"Jye ubwanjye, mbakunda bombi.",Niba ibyo bidahagije ku giti cyawe.,0.16
Ibyo ujye ubizirikana mbere yo gufata umwanzuro wo kumarana n'uwo mugabo ubuzima bwawe bwose.,Ushobora kuba ukeneye kumarana igihe n'undi mugabo.,0.72
Hari ibice by'icyo gitabo byari byarahanuwe cyane kurusha uko byari bimeze mu bihe bya kera.,Sinzi neza icyo icyo gitabo kitari gishimishije.,0.53
Ariko narayikunze cyane kandi nizeye ko hasohoka Bibiliya ya nyuma!,Nizeye ko iki gitabo kizasohoka vuba kuko ngomba kumenya ibizakurikiraho!,0.66
"Iyo ndebye ayo mafoto, birashoboka ko byarakaye.",Gusuzuma ayo mafoto bigomba kuba byaratugoye.,0.91
Gutora Trump ni gutora Amerika,"Gusa nshaka guha #shoutout ikomeye umugabo wanjye wa mbere muri iyi minsi, @realDonaldTrump Get 'er done, big guy!!",0.41
Umwiyahuzi yishe abantu 9 mu myigaragambyo ya politiki yo muri Pakisitani,Umwiyahuzi yishe umurinzi wa Ambasade ya Amerika muri Turukiya,0.62
Hasigaye iminsi 297 ngo nshobore kwiyandikisha ngo ntore!!1 umwaka 193 iminsi ngo umunsi w'amatora uheruke #RockTheVote #democrats #everyvotecounts,"Niba utareba disikuru ya Hillary Clinton muri iki gihe, urimo guta ubwenge bwe bwinshi.",0.34
"Jen yasobanuye ati ""niba utaganira na Fane, wagombye kujya kwa muganga kuko ufite ikibazo cy'ubwonko bwinshi"".","Jen yarasetse ati ""ntimwumva ko ari amagambo y'urwenya?",0.16
"Abakinnyi batatu b'abajura bicaye ku mafarashi, bari mu isiganwa.",Abantu batatu barimo kwiruka hamwe mu isiganwa.,0.38
Abana bambaye imyenda bareba filimi kuri iMac.,Uwo mwana ari mu mazi afashe icyuma cy'umuringa.,0.22
"Umupfumu wo mu nyanja, by Marissa Meyer.",Ibyo ni na ko bimeze kuri Marissa Meyer.,0.5
"Ntiyari mushiki wacu wari ufite ""umubabaro mu nda"" kandi yari afite ibyiyumvo byinshi ku birebana na Iris na Cletus.","Ariko nyuma y'aho, yaje kubona umujyanama we mushya, Cal, yanduye uburozi ku butaka bwo mu gikoni, kandi Iris ni we wenyine ushobora kumufasha.",0.28
"Ku itariki ya 1 Nzeri 1939 , u Budage n' u Buslovakiya , ibihugu by' abakiliya , byateye Polonye .","Intambara ya Kabiri y'Isi Yose yatangiye ku itariki ya 1 Nzeri 1939 , igihe u Budage bwateye Polonye .",0.81
Hari itsinda ry'abagabo n'abagore baryaga bakanywa.,Abagore babiri basa n'aho basinziriye ku meza yo mu resitora.,0.3
Gutora Trump ni gutora Amerika,@realDonaldTrump Ni byiza cyane kubona witeguye gutakaza abaterankunga ku bw'inyungu rusange.,0.47
"Igihe cyose umuntu yaba ari umunyabinyoma, aba ari umunyabinyoma.",uko wakwihora ku muntu uriganya,0.38
"Inzu y'abashitsi n'uwakwakiriye, Dina Demille, bazagukingira uko byagenda kose.","Igishimishije kuri Dina ni uko Sean, umunyabyaha w'indyarya, adashaka ko Arland agerageza gushishikaza Dina atabishaka.",0.5
"Mu mwaka wa 1890 , mu nyanja ya Atalantika habaye inkubi y' umuyaga mu mpeshyi , mu mwaka wa 1890 hakaba hari mu mpera z' umwaka wa 1890 .","Umwaka w'inkubi y' umuyaga wa Atalantika wo mu mwaka wa 1890 ni umwe mu mwaka w' inkubi y' umuyaga idakora cyane , aho habaye inkubi y' umuyaga ine gusa .",0.62
Vinyl irimo indirimbo eshanu z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'umurimo.,"Uretse iyo filimi , Ash na we yagiye agaragara mu mikino yo kuri orudinateri no mu mashusho y' amagazeti .",0.28
"@ClintonFdn, ndumva Andrew Fastow yarakubeshye ku mpamvu y'uko ""twakoze amakosa, nk'uko imiryango myinshi yo mu rwego rwacu ibigenza""","RT @muradguderian: Abademokrate ni Abakomunisiti, Obama ni Abakomunisiti, njye ndi Umunyagihugu nyawe, bityo rero, reka Hillary. #tcot",0.34
"Bityo, RAVEN FIGHT asobanura uko yashaka abigisha no guhabwa imyitozo.",Raven Flight ni igitabo cya kabiri mu gitabo cy'uruhererekane rwa Shadowfell.,0.59
"Hari abavuga ko Hitler yigaruriye u Bufaransa , ariko ko atagaruriye Inzu ya Eiffel .","Abantu ntibakundaga Umunara wa Eiffel , kandi bifuzaga ko wasenyuka .",0.44
"Mbese, Therese ni we uzatuma abantu babona agakiza?","Nanone numvaga ko iyo Therese aza kuba arusha imyaka imwe gusa, inkuru yanjye yari kuba yiringirwa.",0.28
Tanga indi mirongo y'amabwiriza y'ibanze.,Tanga urutonde rw'amatsinda uwo muntu yifatanya na yo,0.31
Umwana yashakaga gufata ikintu cy'umugore wambaye imyenda itandukanye n'iy'abandi.,"Umukobwa muto uhagaze ku kiganza kimwe mu byatsi, undi mwana ari inyuma.",0.31
Umugore uri kuri telefoni ye yiruka mu bicu.,Ibitwa by'umuntu biguma mu mazuru.,0.03
Tuzashyira ibirometero miriyoni 100 hagati yacu n'uwo muntu w'umusazi.,tuzahunga uwo mugani tukawugendaho ibirometero bibarirwa muri za miriyoni.,0.69
"Niba ukunda ibintu by'ubupfumu, kandi cyane cyane niba ukunda ibintu by'ubupfumu, reba ibivugwa muri iyo ngingo.","Nubwo abenshi bavuga ko ari ""Steampunk"", mbona ko ari nk'ikinamico yo mu kirere.",0.53
Yari afite amazi mu mutwe.,"Mbese, ni amafi afite umutwe munini?",0.09
Umugore aririmba mu gihe umugabo akina gitari.,Umugabo aririmba kandi agakina gitari mu gikoresho cyo gutumatumaniramo.,0.53
Abatavuga rumwe n'ubutegetsi bwa Syria batanze imyivumbagatanyo kuri Assad i Homs mu gihe cy'ukwezi kwa Ramadhan,Abatavuga rumwe n'ubutegetsi bwa Syria batanze imyivumbagatanyo ku ngabo za Assad mu gihe cy'ukwezi kwa Ramadhan,0.94
mu nda y'ibitsina no mu mazuru kuko ari byo biremereye cyane,"clitoris ariko mbere y'ibyo byatsi:p na mbere y'ibyo, iminwa n'umurindi, inyuma y'amatwi...",0.41
Inverness yo muri leta ya Floride yashinzwe mu mwaka wa 1889 .,Inverness ni umujyi wo muri leta ya Floride muri Leta Zunze Ubumwe za Amerika .,0.78
"Ugomba kugerageza urubuga rwawe, cyangwa ukarijyaho ukoresheje Google.",Ushobora gushakisha ku rubuga rwa Google urimo indirimbo z'umuhanzi uwo ari we wese.,0.5
"Ndi kwica umwana wanjye uyu munsi, sinshishikazwa n'uko ari bibi cyangwa ari byiza!","Icya mbere, turi abahanzi ubuzima Icya kabiri, gato cyane icya gatatu, sinumva uko ubyumva Icya kane, byinshi cyane Urubyiruko",0.19
"Inteko Ishinga Amategeko y'Ubushinwa yishe abagenzi 9 b'abanyamahanga, umwe muri Pakistani",Abantu bitwaje intwaro bishwe n'abashyitsi 11 bo mu mahanga muri Pakisitani,0.59
"Tove yari umuntu ukomeye kandi wagombaga gufatwa ku ngufu, ariko umwanditsi n'umukinnyi mukuru ntibamwiyumvishaga.",Yashikamye kandi ntazateshuka.,0.34
Ese waba warigeze kumva iby'imyidagaduro?,Gerageza gushimishwa n'ibyo akunda.,0.69
Hari umugabo wicaye ku meza maze asuka icyiyo mu gikombe kimwe mu byombo bitandatu.,Umugabo ahagaze mu ruzi aroba kandi afashe urushundura.,0.12
"Mu gusoza, Braineater Jones ni igitabo cyiza cyane.","Ubu Braineater Jones iboneka mu mpapuro, mu gitabo cya elegitoroniki no mu nyandiko z'amajwi.",0.47
gusesengura porogaramu za telefoni n'ibikoresho by'ikoranabuhanga biva kuri telefoni,"Niba ushaka guhamagara, hari telefoni.",0.22
"Iyo abantu bakoze ubushakashatsi ku miti y' ibiyobyabwenge (placebo) batekereza ko barimo kuvura , babonye ingaruka ya placebo .","Uko byaba bimeze kose , gukoresha imiti y' ibiyobyabwenge (placebo) bizakomeza kuba ingenzi .",0.78
None se kuki usoma amasaha y'amagufwa?,Ibyo byabaye ku gitabo cy'amajwi cy'igitabo cyitwa The Bone Clocks.,0.5
Keifer yakoze neza cyane mu ruhando rwa Jack Bauer.,"Yewe, Keifer akora akazi keza cyane nk'umugaragu wa Jack Bauer!!",0.94
"Prill yarahagaze imbere ye, amugundira nk'umuntu w'umunyamujura.",Yicaye ku mugozi w'intama y'i Sukubus afite mu maso he imbonankubone ya Prillini.,0.53
umwana muto ugerageza kuzamuka.,Abana babiri bato barambagizanya.,0.19
